"ObjectId","Lat","Lon","Alt","name","description","Street Custom","Suppport Type","SupportCondition","SignShareSupport","SignAccessibility","Sign Name","SignHeighWidth","Sign size custom","Sign text","SignCondition","SignBackingMaterial","SignFaceDirection","Sign mounting height","Barcode","R02_BG","R02_FG","R05_BG","R05_FG","notes","changed","pictureFolder","pictureName","picturePath","created","altitude","accuracy"
202,43.37375750481169,-79.73929279668846,52.49443359375,"WPT 202","Burlington ","0","u channel","Good","No","Yes","notrucks","Default","","","Good","al","south","85","b03819","86","19.9","42.7","9.7","","","202","202_2017-10-23 15-51-27.png","/storage/emulated/0/MapIt/Pictures/Burlington /202/202_2017-10-23 15-51-27.png","2017-10-23-15-50-59","52.4944","0.9804"
201,43.37371957843243,-79.73910625047029,53.3435546875,"WPT 201","Burlington ","0","2in metal pole","Very good","No","Yes","school zone ahead","Default","48x24","","Fair","al","north","67","b03718","333","1.6","255","1.1","","","201","201_2017-10-23 15-48-27.png","/storage/emulated/0/MapIt/Pictures/Burlington /201/201_2017-10-23 15-48-27.png","2017-10-23-15-48-17","53.3436","1.3328"
200,43.3737262005543,-79.73914361218522,51.5486328125,"WPT 200","Burlington ","Hampton & windermere","u channel","Very good","No","Yes","stop","Default","","","Very good","al","west","88","b03817","144","473","81.6","235","","","200","200_2017-10-23 15-46-25.png","/storage/emulated/0/MapIt/Pictures/Burlington /200/200_2017-10-23 15-46-25.png","2017-10-23-15-46-14","51.5486","0.6618"
199,43.373224748407665,-79.73997213126859,53.759814453125,"WPT 199","Burlington ","0","2in metal pole","Very good","Yes","No","name","Default","","Dunlop cr","Very good","al","east","","","","","","","","","","","","2017-10-23-15-43-48","53.7598","0.9515"
198,43.373237636029444,-79.7399713533905,53.364794921875,"WPT 198","Burlington ","0","2in metal pole","Very good","Yes","No","name","Default","","Windermere dr","Very good","al","north","","","","","","","","","","","","2017-10-23-15-43-28","53.3648","0.8817"
197,43.373208064978826,-79.73995328379169,49.443408203125,"WPT 197","Burlington ","Windermere & dunlop","2in metal pole","Good","No","Yes","stop","Default","","","Very good","al","west","79","b03816","131","511","85","321","","2017-10-23-15-43-24","197","197_2017-10-23 15-41-32.png","/storage/emulated/0/MapIt/Pictures/Burlington /197/197_2017-10-23 15-41-32.png","2017-10-23-15-41-20","49.4434","0.5779"
196,43.37479286204416,-79.74059675358149,54.450732421875,"WPT 196","Burlington ","0","u channel","Good","No","No","nopark","Default","","","Good","al","east","","","","","","","","","196","196_2017-10-23 15-39-14.png","/storage/emulated/0/MapIt/Pictures/Burlington /196/196_2017-10-23 15-39-14.png","2017-10-23-15-38-52","54.4507","0.5525"
195,43.374592865299746,-79.74048330924234,51.03251953125,"WPT 195","Burlington ","0","u channel","Very good","No","Yes","speed ","Default","","40","Very good","al","north","81","b03815","162","1.6","128","0.5","","","195","195_2017-10-23 15-37-30.png","/storage/emulated/0/MapIt/Pictures/Burlington /195/195_2017-10-23 15-37-30.png","2017-10-23-15-37-12","51.0325","1.319"
194,43.37459438546102,-79.74057780857584,53.87236328125,"WPT 194","Burlington ","0","2in metal pole","Very good","Yes","No","name","Default","","Dunlop cr","Good","al","east","","","","","","","","","","","","2017-10-23-15-36-36","53.8724","0.7527"
193,43.374589863294204,-79.74056633747932,57.345751953125,"WPT 193","Burlington ","0","2in metal pole","Very good","Yes","No","name","Default","","Hampton heath rd","Very good","al","west","","","","","","","","","","","","2017-10-23-15-36-05","57.3458","1.4419"
192,43.37461562185308,-79.74056031503824,52.656298828125,"WPT 192","Burlington ","0","2in metal pole","Good","No","Yes","stop","Default","","","Very good","al","west","75","b03814","155","553","88.9","277","","","192","192_2017-10-23 15-34-37.png","/storage/emulated/0/MapIt/Pictures/Burlington /192/192_2017-10-23 15-34-37.png","2017-10-23-15-34-25","52.6563","2.1616"
