Msrmt Number,0.2 Alpha Legend,0.5 Alpha Legend,0.2 Alpha Bkgrnd,0.5 Alpha Bkgrnd,Date/Time,Latitude,Longitude,Position Accuracy (m),Barcode,Standard Comments,User Comment
166,  573,  294,  156, 79.8, 10/24/2017 19:06:39, 43.373278N, 79.738377W, 11, B03920,, 
167,  421,  195,  708,  315, 10/24/2017 19:08:11, 43.373163N, 79.738433W, 11, B03921,, 
168, 79.0, 37.4, 16.5,  7.4, 10/24/2017 19:10:56, 43.373163N, 79.738443W, 11, B03922,, 
169,  139, 81.6,  613,  319, 10/24/2017 19:11:42, 43.373165N, 79.738445W, 11, B03923,, 
170,  213,  101,  666,  286, 10/24/2017 19:12:39, 43.373170N, 79.738450W, 11, B03924,, 
171,  523,  325,  143, 74.7, 10/24/2017 19:14:29, 43.373168N, 79.738353W, 11, B03925,, 
172,  1.6,  1.1,  647,  341, 10/24/2017 19:25:52, 43.375017N, 79.736408W, 11, B03926,, 
173,  0.8,  1.1, 87.2, 74.5, 10/24/2017 19:33:11, 43.372817N, 79.738873W, 11, B03927,, 
174,  0.8,  0.5, 86.7, 73.0, 10/24/2017 19:33:51, 43.372815N, 79.738873W, 11, B03928,, 
175,  0.8,  0.5,  687,  293, 10/24/2017 19:36:00, 43.372605N, 79.738902W, 11, B03929,, 
176,  546,  356,  176, 99.2, 10/24/2017 19:39:30, 43.372333N, 79.739295W, 11, B03930,, 
177,  2.4,  1.6,  605,  367, 10/24/2017 19:41:54, 43.372168N, 79.739472W, 11, B03931,, 
178,  4.0,  2.7, 82.7, 70.4, 10/24/2017 19:42:57, 43.372137N, 79.739468W, 11, B03932,, 
179,  1.6,  0.5, 99.2, 80.4, 10/24/2017 19:43:57, 43.372098N, 79.739485W, 11, B03933,, 
180,  1.6,  0.5, 98.7, 81.7, 10/24/2017 19:45:55, 43.371990N, 79.739625W, 11, B03934,, 
181, 73.6, 35.5, 17.9,  9.0, 10/24/2017 19:46:48, 43.371987N, 79.739632W, 11, B03935,, 
182, 47.3, 25.1, 13.3,  6.3, 10/24/2017 19:49:42, 43.371975N, 79.739630W, 11, B03936,, 
183, 72.5, 32.5,  0.0,  0.5, 10/24/2017 19:53:34, 43.372248N, 79.739425W, 11, B03937,, 
184,  0.8,  0.5,  558,  317, 10/25/2017 14:02:27, 43.371520N, 79.740140W, 11, B03938,, 
185,  1.6,  1.1, 87.2, 80.1, 10/25/2017 14:03:22, 43.371530N, 79.740120W, 11, B03939,, 
186,  0.8,  1.1,  326,  244, 10/25/2017 14:11:03, 43.371140N, 79.740733W, 11, B03941,, 
187,  148, 91.7,  478,  312, 10/25/2017 14:12:44, 43.371140N, 79.740737W, 11, B03942,, 
188,  249,  149,  549,  299, 10/25/2017 14:14:25, 43.371068N, 79.740727W, 11, B03943,, 
189,  0.8,  1.1,  249,  188, 10/25/2017 14:16:17, 43.371028N, 79.740678W, 11, B03944,, 
190,  128, 88.5,  534,  358, 10/25/2017 14:16:56, 43.371035N, 79.740683W, 11, B03945,, 
191,  155,  107,  416,  320, 10/25/2017 14:17:50, 43.371030N, 79.740693W, 11, B03946,, 
192,  518,  346,  154, 93.9, 10/25/2017 14:20:45, 43.370863N, 79.740872W, 11, B03947,, 
193,  136, 86.9,  534,  346, 10/25/2017 14:21:33, 43.370843N, 79.740927W, 11, B03948,, 
194,  139, 84.8,  569,  377, 10/25/2017 14:22:00, 43.370850N, 79.740892W, 11, B03949,, 
195,  567,  318,  167,  101, 10/25/2017 14:22:52, 43.370853N, 79.740880W, 11, B03950,, 
196, 32.3, 16.0, 19.6,  8.5, 10/25/2017 14:24:31, 43.371035N, 79.740977W, 11, B03951,, 
197,  140, 86.4,  547,  318, 10/25/2017 14:26:36, 43.370973N, 79.740980W, 11, B03952,, 
198,  133, 79.5,  635,  276, 10/25/2017 14:27:27, 43.370955N, 79.740982W, 11, B03953,, 
199,  524,  307,  178, 91.7, 10/25/2017 14:28:10, 43.370972N, 79.740997W, 11, B03954,, 
200,  0.8,  0.5, 95.3, 79.3, 10/25/2017 14:31:48, 43.370735N, 79.741147W, 11, B03955,, 
201, , , , , 10/25/2017 14:31:49, 43.370737N, 79.741148W, 11, ,, 
202,  1.6,  1.6,  628,  338, 10/25/2017 14:32:41, 43.370733N, 79.741162W, 11, B03956,, 
203,  1.6,  1.6,  579,  344, 10/25/2017 14:34:52, 43.370658N, 79.741215W, 11, B03957,, 
204,  1.6,  1.1,  279,  215, 10/25/2017 14:38:37, 0.000000 , 0.000000 , 11, B03958,, 
205, , , , , 10/25/2017 14:39:32, 0.000000 , 0.000000 , 11, ,, 
206,  1.6,  1.1, 82.5, 70.2, 10/25/2017 14:44:43, 43.369830N, 79.742208W, 11, B03960,, 
207,  1.6,  1.6, 97.6, 79.3, 10/25/2017 14:45:00, 43.369812N, 79.742203W, 11, B03962,, 
208,  0.0,  0.0,  106, 85.5, 10/25/2017 14:45:33, 43.369810N, 79.742198W, 11, B03961,, 
209,  0.8,  1.1,  116, 95.7, 10/25/2017 14:50:35, 43.369775N, 79.742177W, 11, B03963,, 
210,  1.6,  1.1, 82.8, 70.3, 10/25/2017 14:51:21, 43.369795N, 79.742175W, 11, B03966,, 
211,  1.6,  1.1, 80.1, 68.1, 10/25/2017 14:51:54, 43.369780N, 79.742180W, 11, B03964,, 
212,  1.6,  1.1, 78.9, 37.0, 10/25/2017 14:55:25, 43.369530N, 79.742367W, 11, B03967,, 
213,  1.6,  1.6, 93.4, 79.6, 10/25/2017 14:59:09, 43.369018N, 79.743045W, 11, B03968,, 
214,  2.4,  1.6,  514,  354, 10/25/2017 15:01:10, 0.000000 , 0.000000 , 11, B03969,, 
215,  0.8,  0.0,  605,  330, 10/25/2017 15:08:50, 43.368037N, 79.744253W, 11, B03970,, 
216,  183, 91.4,  698,  306, 10/25/2017 15:09:16, 43.368025N, 79.744215W, 11, B03971,, 
217,  268,  158,  666,  286, 10/25/2017 15:10:45, 43.368045N, 79.744192W, 11, B03972,, 
218,  575,  322,  165,  104, 10/25/2017 15:11:01, 43.368045N, 79.744213W, 11, B03973,, 
219,  135, 93.5,  446,  266, 10/25/2017 15:13:00, 43.368133N, 79.744050W, 11, B03974,, 
220,  238,  134,  637,  292, 10/25/2017 15:14:01, 43.368112N, 79.744083W, 11, B03975,, 
221, 37.6, 22.3,  1.6,  1.1, 10/25/2017 15:14:50, 43.368115N, 79.744053W, 11, B03976,, 
222,  133, 81.3,  527,  295, 10/25/2017 15:18:24, 43.367995N, 79.744042W, 11, B03977,, 
223,  158, 81.8,  541,  328, 10/25/2017 15:19:06, 43.367980N, 79.744052W, 11, B03978,, 
224,  627,  261,  159, 91.6, 10/25/2017 15:19:57, 43.367980N, 79.744068W, 11, B03979,, 
225,  145, 85.5,  514,  329, 10/25/2017 15:22:36, 43.367927N, 79.744198W, 11, B03980,, 
226, 97.2, 69.6,  389,  296, 10/25/2017 15:23:10, 43.367920N, 79.744208W, 11, B03981,, 
227,  477,  317,  113, 82.4, 10/25/2017 15:29:02, 43.366810N, 79.745720W, 11, B03982,, 
228,  0.8,  0.5,  313,  239, 10/25/2017 15:29:47, 43.366803N, 79.745722W, 11, B03983,, 
229,  0.8,  0.0,  592,  286, 10/25/2017 15:32:45, 43.366162N, 79.746240W, 11, B03984,, 
230,  118, 86.1,  434,  222, 10/25/2017 15:34:20, 43.366068N, 79.746298W, 11, B03985,, 
231,  143, 57.9,  236, 94.6, 10/25/2017 15:35:40, 43.366027N, 79.746295W, 11, B03986,, 
232,  447,  224, 95.1, 55.5, 10/25/2017 15:36:44, 43.366157N, 79.746375W, 11, B03987,, 
233,  160, 86.6,  699,  292, 10/25/2017 15:38:22, 43.366095N, 79.746430W, 11, B03988,, 
234,  176, 85.0,  662,  296, 10/25/2017 15:39:35, 43.366055N, 79.746442W, 11, B03989,, 
235,  510,  218,  156, 91.9, 10/25/2017 15:42:28, 43.366098N, 79.746507W, 11, B03990,, 
236,  0.8,  0.0,  162,  110, 10/25/2017 15:42:53, 43.366102N, 79.746480W, 11, B03991,, 
237,  129, 81.8,  530,  335, 10/25/2017 15:44:37, 43.365948N, 79.746428W, 11, B03992,, 
238, 98.0, 40.4,  229, 91.4, 10/25/2017 15:45:18, 43.365992N, 79.746440W, 11, B03993,, 
239,  732,  312,  183,  112, 10/25/2017 15:46:07, 43.365958N, 79.746523W, 11, B03994,, 
240,  0.8,  0.0,  674,  437, 10/25/2017 15:47:15, 43.365988N, 79.746518W, 11, B03995,, 
241,  197,  108,  605,  280, 10/25/2017 15:50:39, 43.365810N, 79.746350W, 11, B03997,, 
242, 36.8, 28.2,  517,  308, 10/25/2017 15:51:20, 43.365807N, 79.746357W, 11, B03998,, 
243,  148, 74.9,  686,  288, 10/25/2017 15:52:00, 43.365797N, 79.746388W, 11, B03999,, 
244,  609,  329,  126, 88.2, 10/25/2017 15:52:51, 43.365865N, 79.746428W, 11, B04000,, 
245,  0.8,  0.0,  634,  266, 10/25/2017 15:54:05, 43.365973N, 79.746347W, 11, B04001,, 
246,  0.0,  0.0,  105, 85.0, 10/25/2017 15:58:45, 43.366255N, 79.746688W, 11, B04002,, 
247, 24.3, 17.0,  306,  230, 10/25/2017 16:01:20, 43.366320N, 79.747027W, 11, B04003,, 
248,  0.8,  0.0, 73.5, 37.6, 10/25/2017 16:03:11, 43.366517N, 79.746972W, 11, B04004,, 
